Details of the solution:
route 0, node_num 8, cost 1891.778000, nodes: 0(120000.00, 120000.00) 1011(68610.00, 83737.00) 754 647 53 564 207 0(0.00, 0.00)
route 1, node_num 8, cost 1870.162000, nodes: 0(120000.00, 120000.00) 251 812 6 141 125 1025(10544.00, 24127.00) 0(0.00, 0.00)
route 2, node_num 7, cost 1232.630000, nodes: 0(120000.00, 120000.00) 728 904 313 976 990 0(31955.00, 31955.00)
route 57, node_num 7, cost 1109.780000, nodes: 0(120000.00, 120000.00) 611 59 948 781 572 0(40730.00, 40730.00)
route 58, node_num 8, cost 1642.312000, nodes: 0(120000.00, 120000.00) 487 9 58 123 172 308 0(2692.00, 2692.00)
route 59, node_num 7, cost 1099.224000, nodes: 0(120000.00, 120000.00) 212 375 27 931 420 0(41484.00, 41484.00)
route 60, node_num 5, cost 591.234000, nodes: 0(120000.00, 120000.00) 489 211 908 0(77769.00, 77769.00)
route 61, node_num 8, cost 1703.674000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 104845.00) 473 183 358 1000 961 0(30309.00, 30309.00)
route 62, node_num 8, cost 1364.846000, nodes: 0(120000.00, 120000.00) 688 562 580 477 505 816 0(22511.00, 22511.00)
route 63, node_num 6, cost 1201.046000, nodes: 0(120000.00, 120000.00) 526 795 507 891 0(34211.00, 34211.00)
route 64, node_num 7, cost 1336.678000, nodes: 0(120000.00, 120000.00) 380 102 648 186 959 0(24523.00, 24523.00)
route 65, node_num 8, cost 1570.982000, nodes: 0(120000.00, 120000.00) 917 696 151 28 739 398 0(7787.00, 7787.00)
route 66, node_num 7, cost 852.488000, nodes: 0(120000.00, 120000.00) 412 496 35 980 823 0(59108.00, 59108.00)
route 67, node_num 7, cost 681.366000, nodes: 0(120000.00, 120000.00) 861 397 52 956 865 0(71331.00, 71331.00)
route 68, node_num 8, cost 1183.448000, nodes: 0(120000.00, 120000.00) 905 798 887 620 105 590 0(35468.00, 35468.00)
route 69, node_num 8, cost 767.466000, nodes: 0(120000.00, 120000.00) 847 508 713 692 239 981 0(65181.00, 65181.00)
route 70, node_num 6, cost 1801.296000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 81509.00) 586 811 856 0(0.00, 0.00)
route 71, node_num 7, cost 530.138000, nodes: 0(120000.00, 120000.00) 514 320 291 539 464 0(82133.00, 82133.00)
route 72, node_num 6, cost 506.506000, nodes: 0(120000.00, 120000.00) 158 532 94 813 0(83821.00, 83821.00)
route 73, node_num 7, cost 1382.192000, nodes: 0(120000.00, 120000.00) 660 56 585 576 474 0(21272.00, 21272.00)
route 74, node_num 7, cost 1245.944000, nodes: 0(120000.00, 120000.00) 108 530 301 343 215 0(31004.00, 31004.00)
route 75, node_num 8, cost 545.328000, nodes: 0(120000.00, 120000.00) 481 362 799 418 789 636 0(81048.00, 81048.00)
route 76, node_num 6, cost 1001.462000, nodes: 0(120000.00, 120000.00) 77 407 206 349 0(48467.00, 48467.00)
route 77, node_num 7, cost 1542.884000, nodes: 0(120000.00, 120000.00) 363 247 671 18 161 0(9794.00, 9794.00)
route 78, node_num 6, cost 967.008000, nodes: 0(120000.00, 120000.00) 949 531 33 54 0(50928.00, 50928.00)
route 79, node_num 8, cost 1526.896000, nodes: 0(120000.00, 120000.00) 612 377 387 439 614 237 0(10936.00, 10936.00)
route 80, node_num 8, cost 1209.278000, nodes: 0(120000.00, 120000.00) 993 714 666 24 756 294 0(33623.00, 33623.00)
route 81, node_num 8, cost 862.652000, nodes: 0(120000.00, 120000.00) 263 355 447 797 410 198 0(58382.00, 58382.00)
route 82, node_num 6, cost 1436.708000, nodes: 0(120000.00, 120000.00) 432 413 869 452 0(17378.00, 17378.00)
route 83, node_num 9, cost 1709.834000, nodes: 0(120000.00, 120000.00) 1 618 716 1059(57373.00, 59504.00) 499 902 595 0(0.00, 0.00)
route 84, node_num 6, cost 782.838000, nodes: 0(120000.00, 120000.00) 366 546 792 720 0(64083.00, 64083.00)
route 85, node_num 5, cost 162.218000, nodes: 0(120000.00, 120000.00) 242 265 372 0(108413.00, 108413.00)
route 86, node_num 6, cost 504.364000, nodes: 0(120000.00, 120000.00) 627 488 726 544 0(83974.00, 83974.00)
route 87, node_num 5, cost 675.738000, nodes: 0(120000.00, 120000.00) 173 737 584 0(71733.00, 71733.00)
route 88, node_num 8, cost 748.468000, nodes: 0(120000.00, 120000.00) 229 570 139 133 645 369 0(66538.00, 66538.00)
route 89, node_num 8, cost 955.472000, nodes: 0(120000.00, 120000.00) 528 406 587 22 707 374 0(51752.00, 51752.00)
route 90, node_num 8, cost 824.992000, nodes: 0(120000.00, 120000.00) 214 958 386 26 552 782 0(61072.00, 61072.00)
route 91, node_num 6, cost 799.022000, nodes: 0(120000.00, 120000.00) 599 160 284 395 0(62927.00, 62927.00)
route 92, node_num 6, cost 706.482000, nodes: 0(120000.00, 120000.00) 780 742 954 419 0(69537.00, 69537.00)
route 93, node_num 7, cost 1463.028000, nodes: 0(120000.00, 120000.00) 98 653 145 253 973 0(15498.00, 15498.00)
route 94, node_num 8, cost 785.498000, nodes: 0(120000.00, 120000.00) 315 502 916 651 664 32 0(63893.00, 63893.00)
route 95, node_num 8, cost 1316.266000, nodes: 0(120000.00, 120000.00) 51 63 92 456 901 288 0(25981.00, 25981.00)
route 96, node_num 7, cost 1555.092000, nodes: 0(120000.00, 120000.00) 684 639 264 763 476 0(8922.00, 8922.00)
route 97, node_num 6, cost 798.056000, nodes: 0(120000.00, 120000.00) 682 749 689 341 0(62996.00, 62996.00)
route 98, node_num 6, cost 1055.712000, nodes: 0(120000.00, 120000.00) 475 515 445 625 0(44592.00, 44592.00)
route 99, node_num 6, cost 1362.424000, nodes: 0(120000.00, 120000.00) 717 31 814 807 0(22684.00, 22684.00)
route 100, node_num 5, cost 1258.334000, nodes: 0(120000.00, 120000.00) 504 770 359 0(30119.00, 30119.00)
route 101, node_num 8, cost 1308.398000, nodes: 0(120000.00, 120000.00) 516 638 55 393 971 569 0(26543.00, 26543.00)
route 102, node_num 7, cost 844.074000, nodes: 0(120000.00, 120000.00) 512 328 268 607 403 0(59709.00, 59709.00)
route 103, node_num 6, cost 671.538000, nodes: 0(120000.00, 120000.00) 376 390 669 778 0(72033.00, 72033.00)
route 104, node_num 8, cost 956.774000, nodes: 0(120000.00, 120000.00) 480 983 433 761 678 154 0(51659.00, 51659.00)
route 105, node_num 7, cost 1045.100000, nodes: 0(120000.00, 120000.00) 255 416 148 221 577 0(45350.00, 45350.00)
route 106, node_num 9, cost 893.312000, nodes: 0(120000.00, 120000.00) 411 280 96 422 95 91 616 0(56192.00, 56192.00)
route 107, node_num 8, cost 1243.088000, nodes: 0(120000.00, 120000.00) 244 483 506 637 66 290 0(31208.00, 31208.00)
route 108, node_num 7, cost 1078.294000, nodes: 0(120000.00, 120000.00) 196 330 15 218 318 0(42979.00, 42979.00)
route 109, node_num 8, cost 902.258000, nodes: 0(120000.00, 120000.00) 89 434 248 178 579 371 0(55553.00, 55553.00)
route 110, node_num 6, cost 239.736000, nodes: 0(120000.00, 120000.00) 479 179 344 641 0(102876.00, 102876.00)
route 111, node_num 7, cost 1025.682000, nodes: 0(120000.00, 120000.00) 356 335 121 136 246 0(46737.00, 46737.00)
route 112, node_num 7, cost 657.874000, nodes: 0(120000.00, 120000.00) 132 314 180 511 753 0(73009.00, 73009.00)
route 113, node_num 6, cost 721.238000, nodes: 0(120000.00, 120000.00) 838 71 855 840 0(68483.00, 68483.00)
route 114, node_num 6, cost 608.986000, nodes: 0(120000.00, 120000.00) 542 190 317 195 0(76501.00, 76501.00)
route 115, node_num 8, cost 1249.794000, nodes: 0(120000.00, 120000.00) 673 649 450 227 437 661 0(30729.00, 30729.00)
route 116, node_num 8, cost 641.340000, nodes: 0(120000.00, 120000.00) 630 272 482 999 634 111 0(74190.00, 74190.00)
route 117, node_num 6, cost 1358.588000, nodes: 0(120000.00, 120000.00) 441 582 467 381 0(22958.00, 22958.00)
route 118, node_num 8, cost 1157.170000, nodes: 0(120000.00, 120000.00) 824 591 894 745 619 457 0(37345.00, 37345.00)
route 119, node_num 6, cost 1319.052000, nodes: 0(120000.00, 120000.00) 998 821 370 744 0(25782.00, 25782.00)
route 120, node_num 6, cost 1144.850000, nodes: 0(120000.00, 120000.00) 468 45 876 603 0(38225.00, 38225.00)
route 121, node_num 6, cost 920.332000, nodes: 0(120000.00, 120000.00) 233 262 17 454 0(54262.00, 54262.00)
route 122, node_num 6, cost 741.496000, nodes: 0(120000.00, 120000.00) 75 305 964 559 0(67036.00, 67036.00)
route 123, node_num 6, cost 1495.186000, nodes: 0(120000.00, 120000.00) 277 266 200 114 0(13201.00, 13201.00)
route 124, node_num 8, cost 1001.280000, nodes: 0(120000.00, 120000.00) 430 273 444 12 30 193 0(48480.00, 48480.00)
route 125, node_num 7, cost 986.020000, nodes: 0(120000.00, 120000.00) 135 365 541 115 80 0(49570.00, 49570.00)
route 126, node_num 6, cost 1224.160000, nodes: 0(120000.00, 120000.00) 592 224 100 402 0(32560.00, 32560.00)
route 127, node_num 8, cost 1137.318000, nodes: 0(120000.00, 120000.00) 296 629 364 965 276 336 0(38763.00, 38763.00)
route 128, node_num 7, cost 966.672000, nodes: 0(120000.00, 120000.00) 615 796 708 758 36 0(50952.00, 50952.00)
route 129, node_num 7, cost 718.578000, nodes: 0(120000.00, 120000.00) 719 131 970 415 762 0(68673.00, 68673.00)
route 130, node_num 7, cost 1408.792000, nodes: 0(120000.00, 120000.00) 658 992 127 471 78 0(19372.00, 19372.00)
route 131, node_num 7, cost 1565.368000, nodes: 0(120000.00, 120000.00) 346 841 82 768 741 0(8188.00, 8188.00)
route 132, node_num 7, cost 503.664000, nodes: 0(120000.00, 120000.00) 76 566 426 832 918 0(84024.00, 84024.00)
route 133, node_num 7, cost 1114.848000, nodes: 0(120000.00, 120000.00) 676 210 790 819 969 0(40368.00, 40368.00)
route 134, node_num 7, cost 518.336000, nodes: 0(120000.00, 120000.00) 994 984 975 40 331 0(82976.00, 82976.00)
route 135, node_num 7, cost 695.940000, nodes: 0(120000.00, 120000.00) 935 279 806 287 226 0(70290.00, 70290.00)
route 136, node_num 9, cost 1768.438000, nodes: 0(120000.00, 120000.00) 176 347 957 962 779 72 1021(22376.00, 28693.00) 0(0.00, 0.00)
route 137, node_num 5, cost 416.402000, nodes: 0(120000.00, 120000.00) 167 204 808 0(90257.00, 90257.00)
route 138, node_num 7, cost 1231.412000, nodes: 0(120000.00, 120000.00) 306 923 545 171 880 0(32042.00, 32042.00)
route 139, node_num 8, cost 1793.274000, nodes: 0(120000.00, 120000.00) 187 722 61 107 623 1025(16036.00, 24127.00) 0(0.00, 0.00)
route 140, node_num 7, cost 498.092000, nodes: 0(120000.00, 120000.00) 235 540 568 690 2 0(84422.00, 84422.00)
route 141, node_num 8, cost 1629.852000, nodes: 0(120000.00, 120000.00) 1089(78600.00, 82600.00) 700 392 921 718 177 0(7582.00, 7582.00)
route 142, node_num 7, cost 787.024000, nodes: 0(120000.00, 120000.00) 903 83 725 458 788 0(63784.00, 63784.00)
route 143, node_num 8, cost 1163.176000, nodes: 0(120000.00, 120000.00) 963 846 408 425 944 50 0(36916.00, 36916.00)
route 144, node_num 7, cost 1559.096000, nodes: 0(120000.00, 120000.00) 930 245 947 867 219 0(8636.00, 8636.00)
route 145, node_num 7, cost 398.902000, nodes: 0(120000.00, 120000.00) 222 822 484 776 417 0(91507.00, 91507.00)
route 146, node_num 7, cost 682.612000, nodes: 0(120000.00, 120000.00) 321 486 557 93 220 0(71242.00, 71242.00)
route 147, node_num 7, cost 1199.058000, nodes: 0(120000.00, 120000.00) 383 772 5 803 423 0(34353.00, 34353.00)
route 148, node_num 6, cost 871.290000, nodes: 0(120000.00, 120000.00) 57 299 7 830 0(57765.00, 57765.00)
route 149, node_num 7, cost 1310.372000, nodes: 0(120000.00, 120000.00) 966 103 628 523 987 0(26402.00, 26402.00)
route 150, node_num 8, cost 1278.592000, nodes: 0(120000.00, 120000.00) 409 429 860 67 203 469 0(28672.00, 28672.00)
route 151, node_num 7, cost 766.752000, nodes: 0(120000.00, 120000.00) 460 401 578 459 396 0(65232.00, 65232.00)
route 152, node_num 7, cost 1545.922000, nodes: 0(120000.00, 120000.00) 752 493 537 773 527 0(9577.00, 9577.00)
route 153, node_num 6, cost 1421.602000, nodes: 0(120000.00, 120000.00) 933 138 97 126 0(18457.00, 18457.00)
route 154, node_num 6, cost 1347.640000, nodes: 0(120000.00, 120000.00) 431 283 721 43 0(23740.00, 23740.00)
route 155, node_num 7, cost 813.554000, nodes: 0(120000.00, 120000.00) 734 90 868 122 39 0(61889.00, 61889.00)
route 156, node_num 7, cost 975.996000, nodes: 0(120000.00, 120000.00) 360 657 866 760 338 0(50286.00, 50286.00)
route 157, node_num 7, cost 1089.886000, nodes: 0(120000.00, 120000.00) 70 162 547 624 494 0(42151.00, 42151.00)
route 158, node_num 8, cost 1522.318000, nodes: 0(120000.00, 120000.00) 361 149 884 385 828 252 0(11263.00, 11263.00)
route 159, node_num 8, cost 1121.470000, nodes: 0(120000.00, 120000.00) 150 278 952 16 943 755 0(39895.00, 39895.00)
route 160, node_num 8, cost 1446.284000, nodes: 0(120000.00, 120000.00) 979 165 478 463 202 654 0(16694.00, 16694.00)
route 161, node_num 7, cost 1101.814000, nodes: 0(120000.00, 120000.00) 225 895 295 169 940 0(41299.00, 41299.00)
route 162, node_num 7, cost 509.726000, nodes: 0(120000.00, 120000.00) 555 633 771 550 784 0(83591.00, 83591.00)
route 163, node_num 7, cost 1311.996000, nodes: 0(120000.00, 120000.00) 674 521 694 573 234 0(26286.00, 26286.00)
route 164, node_num 7, cost 807.128000, nodes: 0(120000.00, 120000.00) 86 34 659 883 800 0(62348.00, 62348.00)
route 165, node_num 7, cost 941.948000, nodes: 0(120000.00, 120000.00) 801 588 574 681 155 0(52718.00, 52718.00)
route 166, node_num 8, cost 1647.114000, nodes: 0(120000.00, 120000.00) 535 271 787 911 646 1031(32731.00, 32731.00) 0(2349.00, 2349.00)
route 167, node_num 6, cost 982.366000, nodes: 0(120000.00, 120000.00) 157 25 892 254 0(49831.00, 49831.00)
route 168, node_num 8, cost 1652.854000, nodes: 0(120000.00, 120000.00) 632 156 712 414 598 1061(33932.00, 33932.00) 0(1939.00, 1939.00)
route 169, node_num 7, cost 936.096000, nodes: 0(120000.00, 120000.00) 594 899 208 470 589 0(53136.00, 53136.00)
route 170, node_num 8, cost 750.302000, nodes: 0(120000.00, 120000.00) 373 199 513 491 809 428 0(66407.00, 66407.00)
route 171, node_num 7, cost 1542.604000, nodes: 0(120000.00, 120000.00) 79 117 967 889 875 0(9814.00, 9814.00)
route 172, node_num 6, cost 889.980000, nodes: 0(120000.00, 120000.00) 711 327 427 11 0(56430.00, 56430.00)
route 173, node_num 7, cost 1159.564000, nodes: 0(120000.00, 120000.00) 977 862 379 879 448 0(37174.00, 37174.00)
route 174, node_num 7, cost 1039.668000, nodes: 0(120000.00, 120000.00) 259 538 850 42 747 0(45738.00, 45738.00)
route 175, node_num 7, cost 1295.532000, nodes: 0(120000.00, 120000.00) 285 596 152 348 791 0(27462.00, 27462.00)
route 176, node_num 5, cost 1244.670000, nodes: 0(120000.00, 120000.00) 602 548 38 0(31095.00, 31095.00)
route 177, node_num 6, cost 856.562000, nodes: 0(120000.00, 120000.00) 686 394 733 382 0(58817.00, 58817.00)
route 178, node_num 6, cost 744.716000, nodes: 0(120000.00, 120000.00) 230 818 827 47 0(66806.00, 66806.00)
route 179, node_num 9, cost 961.100000, nodes: 0(120000.00, 120000.00) 912 668 524 805 451 881 642 0(51350.00, 51350.00)
route 180, node_num 6, cost 1073.730000, nodes: 0(120000.00, 120000.00) 677 175 890 974 0(43305.00, 43305.00)
route 181, node_num 6, cost 932.246000, nodes: 0(120000.00, 120000.00) 326 184 84 893 0(53411.00, 53411.00)
route 182, node_num 7, cost 897.848000, nodes: 0(120000.00, 120000.00) 563 41 191 833 703 0(55868.00, 55868.00)
route 183, node_num 6, cost 659.036000, nodes: 0(120000.00, 120000.00) 556 608 844 282 0(72926.00, 72926.00)
route 184, node_num 7, cost 888.440000, nodes: 0(120000.00, 120000.00) 743 702 503 872 118 0(56540.00, 56540.00)
route 185, node_num 8, cost 1411.382000, nodes: 0(120000.00, 120000.00) 289 110 685 323 925 871 0(19187.00, 19187.00)
route 186, node_num 7, cost 1433.376000, nodes: 0(120000.00, 120000.00) 153 786 583 48 534 0(17616.00, 17616.00)
route 187, node_num 6, cost 1247.428000, nodes: 0(120000.00, 120000.00) 192 174 730 13 0(30898.00, 30898.00)
route 188, node_num 6, cost 1201.340000, nodes: 0(120000.00, 120000.00) 581 332 683 882 0(34190.00, 34190.00)
route 189, node_num 8, cost 1684.102000, nodes: 0(120000.00, 120000.00) 304 655 845 858 509 1040(22322.00, 22615.00) 0(0.00, 0.00)
route 190, node_num 6, cost 1553.454000, nodes: 0(120000.00, 120000.00) 243 472 99 854 0(9039.00, 9039.00)
route 191, node_num 7, cost 763.882000, nodes: 0(120000.00, 120000.00) 764 286 21 256 238 0(65437.00, 65437.00)
route 192, node_num 7, cost 1427.272000, nodes: 0(120000.00, 120000.00) 257 870 334 926 732 0(18052.00, 18052.00)
route 193, node_num 7, cost 842.058000, nodes: 0(120000.00, 120000.00) 310 69 609 662 724 0(59853.00, 59853.00)
route 194, node_num 4, cost 277.592000, nodes: 0(120000.00, 120000.00) 910 554 0(100172.00, 100172.00)
route 195, node_num 6, cost 494.200000, nodes: 0(120000.00, 120000.00) 44 777 325 914 0(84700.00, 84700.00)
route 196, node_num 6, cost 464.716000, nodes: 0(120000.00, 120000.00) 972 820 886 936 0(86806.00, 86806.00)
route 197, node_num 6, cost 965.174000, nodes: 0(120000.00, 120000.00) 231 953 593 170 0(51059.00, 51059.00)
route 198, node_num 7, cost 1502.214000, nodes: 0(120000.00, 120000.00) 10 774 604 601 60 0(12699.00, 12699.00)
route 199, node_num 6, cost 860.874000, nodes: 0(120000.00, 120000.00) 497 81 843 329 0(58509.00, 58509.00)
route 200, node_num 6, cost 1375.192000, nodes: 0(120000.00, 120000.00) 140 567 849 168 0(21772.00, 21772.00)
route 201, node_num 6, cost 1509.186000, nodes: 0(120000.00, 120000.00) 465 738 29 443 0(12201.00, 12201.00)
route 202, node_num 6, cost 1666.056000, nodes: 0(120000.00, 120000.00) 691 236 941 709 0(996.00, 996.00)
route 203, node_num 7, cost 884.744000, nodes: 0(120000.00, 120000.00) 842 885 217 37 670 0(56804.00, 56804.00)
route 204, node_num 7, cost 1626.002000, nodes: 0(120000.00, 120000.00) 693 113 938 3 109 0(3857.00, 3857.00)
route 205, node_num 8, cost 1011.850000, nodes: 0(120000.00, 120000.00) 679 399 353 275 600 462 0(47725.00, 47725.00)
route 206, node_num 6, cost 1591.016000, nodes: 0(120000.00, 120000.00) 166 85 339 367 0(6356.00, 6356.00)
route 207, node_num 7, cost 770.924000, nodes: 0(120000.00, 120000.00) 817 551 298 147 859 0(64934.00, 64934.00)
route 208, node_num 7, cost 818.804000, nodes: 0(120000.00, 120000.00) 968 698 209 920 223 0(61514.00, 61514.00)
vehicle (route) number: 209
Total cost: 291180.28
369497.80, 32454.14
356014.08, 32433.27
317635.45, 32419.26
291180.28, 32412.07
291251.36, 32413.05
Details of the solution:
route 0, node_num 6, cost 1099.924000, nodes: 0(120000.00, 120000.00) 189 375 19 219 0(41434.00, 41434.00)
route 1, node_num 7, cost 960.106000, nodes: 0(120000.00, 120000.00) 765 966 915 877 760 0(51421.00, 51421.00)
route 2, node_num 4, cost 293.398000, nodes: 0(120000.00, 120000.00) 222 822 0(99043.00, 99043.00)
route 3, node_num 7, cost 852.138000, nodes: 0(120000.00, 120000.00) 563 794 843 699 927 0(59133.00, 59133.00)
route 4, node_num 8, cost 1117.774000, nodes: 0(120000.00, 120000.00) 225 895 748 295 576 973 0(40159.00, 40159.00)
route 5, node_num 7, cost 1197.728000, nodes: 0(120000.00, 120000.00) 993 45 174 402 720 0(34448.00, 34448.00)
route 6, node_num 6, cost 811.300000, nodes: 0(120000.00, 120000.00) 75 41 350 490 0(62050.00, 62050.00)
route 7, node_num 7, cost 1666.336000, nodes: 0(120000.00, 120000.00) 533 631 405 1000 961 0(976.00, 976.00)
route 8, node_num 8, cost 606.620000, nodes: 0(120000.00, 120000.00) 132 975 40 488 832 918 0(76670.00, 76670.00)
route 9, node_num 8, cost 1606.150000, nodes: 0(120000.00, 120000.00) 304 461 359 73 858 207 0(5275.00, 5275.00)
